run_index,seed,scenario_id,run_id,csv_dir,status
1,1,FWD_BASE_T26820,9e01a7f7765a,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_01,ok
2,2,FWD_BASE_T26820,6ff487d6c5d1,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_02,ok
3,3,FWD_BASE_T26820,16d8a1a173ce,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_03,ok
4,4,FWD_BASE_T26820,a010ae329fda,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_04,ok
5,5,FWD_BASE_T26820,e7bbb86285f0,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_05,ok
6,6,FWD_BASE_T26820,3310b4c20150,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_06,ok
7,7,FWD_BASE_T26820,0a9804859459,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_07,ok
8,8,FWD_BASE_T26820,5a356ff474d9,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_08,ok
9,9,FWD_BASE_T26820,9daa39a2bb2f,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_09,ok
10,10,FWD_BASE_T26820,844d2fc968df,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_10,ok
11,11,FWD_BASE_T26820,bc9a78235cf1,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_11,ok
12,12,FWD_BASE_T26820,218f3357278b,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_12,ok
13,13,FWD_BASE_T26820,f19bf4a6a65e,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_13,ok
14,14,FWD_BASE_T26820,d0d224e06eba,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_14,ok
15,15,FWD_BASE_T26820,9664490795be,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_15,ok
16,16,FWD_BASE_T26820,6dc9b27a97dd,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_16,ok
17,17,FWD_BASE_T26820,8360455d6a49,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_17,ok
18,18,FWD_BASE_T26820,e746503c3a04,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_18,ok
19,19,FWD_BASE_T26820,417da89b93a9,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_19,ok
20,20,FWD_BASE_T26820,249c949c2b64,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_20,ok
21,21,FWD_BASE_T26820,9cf9f84eb50e,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_21,ok
22,22,FWD_BASE_T26820,5c70f9bc86fe,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_22,ok
23,23,FWD_BASE_T26820,3d6a95e3b001,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_23,ok
24,24,FWD_BASE_T26820,b10cadb33bc5,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_24,ok
25,25,FWD_BASE_T26820,b13f935270b7,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_25,ok
26,26,FWD_BASE_T26820,ac1e25152e5f,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_26,ok
27,27,FWD_BASE_T26820,a1d487d3c6a6,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_27,ok
28,28,FWD_BASE_T26820,b6061be93b79,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_28,ok
29,29,FWD_BASE_T26820,c5f49c870231,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_29,ok
30,30,FWD_BASE_T26820,9235f76707b2,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_30,ok
